val_loss,val_accuracy,loss,accuracy
0.03296305984258652,0.7590507864952087,0.5395959571095755,0.7411014437675476
0.021571869030594826,0.7703083157539368,0.4866257654434067,0.7708450555801392
0.017883315682411194,0.7768965363502502,0.4658241838375466,0.7823187708854675
0.01979907415807247,0.7783676385879517,0.4541753096076411,0.7884395122528076
0.016068659722805023,0.7805424332618713,0.4432318642818001,0.7937569618225098
0.013791008852422237,0.7826532125473022,0.43409893590440807,0.798470139503479
0.01944919116795063,0.7824612855911255,0.42496601448242366,0.8039795756340027
0.0174589641392231,0.7862991094589233,0.41765331706293185,0.8082946538925171
0.021731486544013023,0.7847000360488892,0.4093308071049096,0.8132708668708801
0.01854696311056614,0.7857234477996826,0.4025247512543258,0.8171167969703674
0.018660973757505417,0.7855954766273499,0.3953512077637674,0.8202802538871765
0.012531735934317112,0.7856594324111938,0.38741731161692217,0.8242327570915222
0.023318465799093246,0.7842522859573364,0.3792301711551716,0.8286900520324707
0.01774972677230835,0.7853396534919739,0.37201472020661763,0.833033561706543
0.027499767020344734,0.7824612855911255,0.36467298240623963,0.8371211886405945
0.026519102975726128,0.7854036092758179,0.3561994491505987,0.8421613574028015
0.017035046592354774,0.7828450798988342,0.34797617507176315,0.8458366990089417
0.022045519202947617,0.787066638469696,0.34010568595018825,0.851026177406311
0.018639525398612022,0.7839324474334717,0.3313877213500312,0.8548080921173096
0.022719988599419594,0.7793270945549011,0.3210125629337267,0.8604881167411804
0.009365788660943508,0.7820135354995728,0.31240152236321583,0.8651160001754761
0.01688707061111927,0.7802225947380066,0.3022457186361559,0.8706395626068115
0.015684738755226135,0.777408242225647,0.29235374938897707,0.8752461671829224
0.014314336702227592,0.781373918056488,0.28122141487099156,0.881750762462616
0.018310029059648514,0.7717154622077942,0.2704744707473325,0.8876653909683228
0.020050376653671265,0.7686452865600586,0.26037718686169947,0.8929259181022644
0.024605879560112953,0.7664065361022949,0.24851178666702603,0.898932933807373
0.01829376071691513,0.7687092423439026,0.23675165757965802,0.9051247835159302
